sku,offer,image,title,old_price,retailer_sku_code,crawl_time,urls,out_of_stock,price,categories,desc
56369,False,https://a4ucontent.blob.core.windows.net/images/0047368_0.png,Top-One Wholemeal Bread 500G,,prod-data-id56369,2015-12-11 02:34:27,https://allforyou.sg/bread?pagenumber=2,False,$2.20,,"Top-One <br/>
Enriched Wholemeal Bread<br/>
<span style=""color: grey;"">420 g</span>"
22151,True,https://a4ucontent.blob.core.windows.net/images/default-image_0.png,Enchanteur H&Body Lotion Charming 250ML,,prod-data-id22151,2015-12-11 02:34:27,https://allforyou.sg/personal-care,False,$5.30,,"Enchanteur<br/>
Hand and Body Lotion Charming<br/>
<span style =""color:grey""> 250ML</span>"
23309,True,https://a4ucontent.blob.core.windows.net/images/default-image_0.png,Fm Uv Whitening H&B Lotion 400ML,,prod-data-id23309,2015-12-11 02:34:27,https://allforyou.sg/personal-care,False,$5.90,,"Follow Me<br/>
UV Whitening Hand and Body Lotion<br/>
<span style =""color:grey""> 400ML</span>"
22920,False,https://a4ucontent.blob.core.windows.net/images/default-image_0.png,Ginvera G/Tea Olive Oil 150ML,,prod-data-id22920,2015-12-11 02:34:27,https://allforyou.sg/personal-care,False,$4.80,,"Ginvera<br/>
Green Tea Olive Oil<br/>
<span style =""color:grey""> 150ML</span>"
59066,False,https://a4ucontent.blob.core.windows.net/images/0019985_0.png,Top-One Multi-Grain Bread 500G,,prod-data-id59066,2015-12-11 02:34:27,https://allforyou.sg/bread?pagenumber=2,False,$2.40,,"Top-One<br/>
Enriched Multi-Grain Bread<br/>
<span style=""color: grey;"">500 g</span>"
22286,False,https://a4ucontent.blob.core.windows.net/images/default-image_0.png,Jergens Overnight Repair Moist 400ML,,prod-data-id22286,2015-12-11 02:34:27,https://allforyou.sg/personal-care,False,$8.50,,"Jergens<br/>
Overnight Repair Moist<br/>
<span style =""color:grey""> 400ML</span>"
123767,False,https://a4ucontent.blob.core.windows.net/images/default-image_0.png,Jergens Ultra Heal Lotion 400ML,,prod-data-id123767,2015-12-11 02:34:27,https://allforyou.sg/personal-care,False,$8.90,,"Jergens<br/>
Ultra Heal Lotion<br/>
<span style =""color:grey""> 400ML</span>"
117958,True,https://a4ucontent.blob.core.windows.net/images/default-image_0.png,Adore Comfort All Days 13S,,prod-data-id117958,2015-12-11 02:34:27,https://allforyou.sg/personal-care,False,$4.90,,"Adore<br/>
Comfort All Days<br/>
<span style =""color:grey""> 13S</span>"
120895,True,https://a4ucontent.blob.core.windows.net/images/default-image_0.png,Adore Sanitary MINI(LD)18S(19CM),,prod-data-id120895,2015-12-11 02:34:27,https://allforyou.sg/personal-care,False,$5.40,,"Adore<br/>
Sanitary MINI(LD)<br/>
<span style =""color:grey""> 18S(19CM)</span>"
18315,False,https://a4ucontent.blob.core.windows.net/images/default-image_0.png,Kotex Fresh 2in1 U/THIN(NEW)40S,,prod-data-id18315,2015-12-11 02:34:27,https://allforyou.sg/personal-care,True,$3.85,,"Kotex<br/>
Fresh 2in1 U/THIN(NEW)<br/>
<span style =""color:grey""> 40S</span>"
120887,True,https://a4ucontent.blob.core.windows.net/images/0043071_0.png,Kotex Kss Overnight Wing 14S(38CM),,prod-data-id120887,2015-12-11 02:34:27,https://allforyou.sg/personal-care,False,$4.95,,"Kotex<br/>
Soft & Smooth Overnight, Heavy Flow, Wing <br/>
<span style=""color:gray""> 14S 38CM </span>"
120884,True,https://a4ucontent.blob.core.windows.net/images/0043070_0.png,Kotex Kss Slim Wing 26S(24CM)TP,,prod-data-id120884,2015-12-11 02:34:27,https://allforyou.sg/personal-care,False,$8.95,,"Kotex<br/> 
Soft & Smooth Slim, Regular Flow, Wing Twin Pack <br/>
<span style=""color:gray""> 26S 24CM </span>"
21065,False,https://a4ucontent.blob.core.windows.net/images/default-image_0.png,Lifree Powerful Thin Pants L 10S,,prod-data-id21065,2015-12-11 02:34:27,https://allforyou.sg/personal-care,False,$13.95,,"Lifree<br/>
Powerful Thin Pants<br/>
<span style =""color:grey""> (L)10S</span>"
